group,count,bad_rate,selection_rate,true_positive_rate,false_positive_rate,roc_auc,brier_score,suppressed
Midwest,50438,0.1445735358261628,0.088960704230937,0.10065823019515134,0.019747668678003292,0.6699637930928828,0.11815146100716496,False
Northeast,57104,0.15074250490333427,0.09004623143737742,0.10240019795447047,0.020446096654275093,0.6573766953645968,0.12315762514656098,False
South,100990,0.15264877710664423,0.0940093078522626,0.10634071096361045,0.02555786196159834,0.6579835720681495,0.12442633903013796,False
West,74494,0.14519290144172686,0.09873278384836362,0.11140425264612581,0.024130917159763312,0.6689224920648285,0.11867865484336323,False
