group,count,bad_rate,selection_rate,true_positive_rate,false_positive_rate,roc_auc,brier_score,suppressed
Income Q1,60653,0.194318500321501,0.00822712808929484,0.009740724824523707,0.0019514678432038012,0.6186443107276176,0.15229614928301546,False
Income Q2,52558,0.16164998668138056,0.033715133756992276,0.03862738867958786,0.008239171374764594,0.6426891964678089,0.13086586184872487,False
Income Q3,56927,0.14829518506157008,0.07160047077836527,0.08101474682891616,0.017531390665719022,0.6595613714844313,0.12146656618587813,False
Income Q4,56283,0.12916866549402128,0.13442780235595117,0.14861363311774428,0.03878954607977992,0.6661945820117735,0.10843276731668046,False
Income Q5,56605,0.10843565056090451,0.2219768571680947,0.2400182297342818,0.0736396220267188,0.680325515307749,0.09302826859018655,False
