lgd,margin,review_cost,is_base_scenario,optimal_approve_below,optimal_decline_at,optimal_cost,optimal_cost_per_1000_applications,optimal_approval_rate,optimal_review_rate,optimal_decline_rate,base_approve_below,base_decline_at,frozen_base_cost,frozen_base_cost_per_1000_applications,frozen_base_approval_rate,frozen_base_review_rate,frozen_base_decline_rate
0.4,0.03,15.0,False,0.05,0.45,2717145.0,29985.59841085913,0.086122606632456,0.913877393367544,0.0,0.05,0.45,2717145.0,29985.59841085913,0.086122606632456,0.913877393367544,0.0
0.4,0.03,30.0,False,0.05,0.45,3959310.0,43693.75931137229,0.086122606632456,0.913877393367544,0.0,0.05,0.45,3959310.0,43693.75931137229,0.086122606632456,0.913877393367544,0.0
0.4,0.03,60.0,False,0.05,0.45,6443640.0,71110.0811123986,0.086122606632456,0.913877393367544,0.0,0.05,0.45,6443640.0,71110.0811123986,0.086122606632456,0.913877393367544,0.0
0.4,0.05,15.0,False,0.05,0.45,2717145.0,29985.59841085913,0.086122606632456,0.913877393367544,0.0,0.05,0.45,2717145.0,29985.59841085913,0.086122606632456,0.913877393367544,0.0
0.4,0.05,30.0,False,0.05,0.45,3959310.0,43693.75931137229,0.086122606632456,0.913877393367544,0.0,0.05,0.45,3959310.0,43693.75931137229,0.086122606632456,0.913877393367544,0.0
0.4,0.05,60.0,False,0.05,0.45,6443640.0,71110.0811123986,0.086122606632456,0.913877393367544,0.0,0.05,0.45,6443640.0,71110.0811123986,0.086122606632456,0.913877393367544,0.0
0.4,0.08,15.0,False,0.05,0.45,2717145.0,29985.59841085913,0.086122606632456,0.913877393367544,0.0,0.05,0.45,2717145.0,29985.59841085913,0.086122606632456,0.913877393367544,0.0
0.4,0.08,30.0,False,0.05,0.45,3959310.0,43693.75931137229,0.086122606632456,0.913877393367544,0.0,0.05,0.45,3959310.0,43693.75931137229,0.086122606632456,0.913877393367544,0.0
0.4,0.08,60.0,False,0.05,0.45,6443640.0,71110.0811123986,0.086122606632456,0.913877393367544,0.0,0.05,0.45,6443640.0,71110.0811123986,0.086122606632456,0.913877393367544,0.0
0.6,0.03,15.0,False,0.05,0.45,3454635.0,38124.31716603212,0.086122606632456,0.913877393367544,0.0,0.05,0.45,3454635.0,38124.31716603212,0.086122606632456,0.913877393367544,0.0
0.6,0.03,30.0,False,0.05,0.45,4696800.0,51832.47806654528,0.086122606632456,0.913877393367544,0.0,0.05,0.45,4696800.0,51832.47806654528,0.086122606632456,0.913877393367544,0.0
0.6,0.03,60.0,False,0.05,0.45,7181130.0,79248.7998675716,0.086122606632456,0.913877393367544,0.0,0.05,0.45,7181130.0,79248.7998675716,0.086122606632456,0.913877393367544,0.0
0.6,0.05,15.0,False,0.05,0.45,3454635.0,38124.31716603212,0.086122606632456,0.913877393367544,0.0,0.05,0.45,3454635.0,38124.31716603212,0.086122606632456,0.913877393367544,0.0
0.6,0.05,30.0,True,0.05,0.45,4696800.0,51832.47806654528,0.086122606632456,0.913877393367544,0.0,0.05,0.45,4696800.0,51832.47806654528,0.086122606632456,0.913877393367544,0.0
0.6,0.05,60.0,False,0.05,0.45,7181130.0,79248.7998675716,0.086122606632456,0.913877393367544,0.0,0.05,0.45,7181130.0,79248.7998675716,0.086122606632456,0.913877393367544,0.0
0.6,0.08,15.0,False,0.05,0.45,3454635.0,38124.31716603212,0.086122606632456,0.913877393367544,0.0,0.05,0.45,3454635.0,38124.31716603212,0.086122606632456,0.913877393367544,0.0
0.6,0.08,30.0,False,0.05,0.45,4696800.0,51832.47806654528,0.086122606632456,0.913877393367544,0.0,0.05,0.45,4696800.0,51832.47806654528,0.086122606632456,0.913877393367544,0.0
0.6,0.08,60.0,False,0.05,0.45,7181130.0,79248.7998675716,0.086122606632456,0.913877393367544,0.0,0.05,0.45,7181130.0,79248.7998675716,0.086122606632456,0.913877393367544,0.0
0.8,0.03,15.0,False,0.05,0.45,4192125.0,46263.0359212051,0.086122606632456,0.913877393367544,0.0,0.05,0.45,4192125.0,46263.0359212051,0.086122606632456,0.913877393367544,0.0
0.8,0.03,30.0,False,0.05,0.45,5434290.0,59971.19682171826,0.086122606632456,0.913877393367544,0.0,0.05,0.45,5434290.0,59971.19682171826,0.086122606632456,0.913877393367544,0.0
0.8,0.03,60.0,False,0.05,0.45,7918620.0,87387.51862274458,0.086122606632456,0.913877393367544,0.0,0.05,0.45,7918620.0,87387.51862274458,0.086122606632456,0.913877393367544,0.0
0.8,0.05,15.0,False,0.05,0.45,4192125.0,46263.0359212051,0.086122606632456,0.913877393367544,0.0,0.05,0.45,4192125.0,46263.0359212051,0.086122606632456,0.913877393367544,0.0
0.8,0.05,30.0,False,0.05,0.45,5434290.0,59971.19682171826,0.086122606632456,0.913877393367544,0.0,0.05,0.45,5434290.0,59971.19682171826,0.086122606632456,0.913877393367544,0.0
0.8,0.05,60.0,False,0.05,0.45,7918620.0,87387.51862274458,0.086122606632456,0.913877393367544,0.0,0.05,0.45,7918620.0,87387.51862274458,0.086122606632456,0.913877393367544,0.0
0.8,0.08,15.0,False,0.05,0.45,4192125.0,46263.0359212051,0.086122606632456,0.913877393367544,0.0,0.05,0.45,4192125.0,46263.0359212051,0.086122606632456,0.913877393367544,0.0
0.8,0.08,30.0,False,0.05,0.45,5434290.0,59971.19682171826,0.086122606632456,0.913877393367544,0.0,0.05,0.45,5434290.0,59971.19682171826,0.086122606632456,0.913877393367544,0.0
0.8,0.08,60.0,False,0.05,0.45,7918620.0,87387.51862274458,0.086122606632456,0.913877393367544,0.0,0.05,0.45,7918620.0,87387.51862274458,0.086122606632456,0.913877393367544,0.0
