month,status,count,prevalence,roc_auc,average_precision,brier_score,log_loss,expected_calibration_error,approval_rate,review_rate,decline_rate,policy_cost,policy_cost_per_1000_applications,total_exposure,currency
2015-01,ok,23631,0.148787609496001,0.6596955022839378,0.23746630359236415,0.12165634518174007,0.3999161545303454,0.006488395650085237,0.08264567728830773,0.9173543227116923,0.0,1297845.0,54921.28983115399,301588175.0,USD
2015-02,ok,16023,0.1416713474380578,0.6542416536432099,0.22461229794602186,0.11720764020424151,0.3891110006049815,0.0023510456359316393,0.08469075703675966,0.9153092429632403,0.0,870525.0,54329.71353679086,208632100.0,USD
2015-03,ok,16914,0.15401442591935674,0.6551656883732492,0.2431262346273182,0.1253510551540448,0.4101597516246301,0.012251792279566862,0.07816010405581175,0.9218398959441882,0.0,973515.0,57556.75771550195,218631275.0,USD
2015-04,ok,23619,0.15538337778906813,0.6566622544163366,0.2519993487275495,0.12609673879205213,0.4117959973509059,0.014689307014093848,0.08150218044794445,0.9184978195520556,0.0,1168500.0,49472.88200177823,300046975.0,USD
2015-05,ok,21539,0.15228190723803334,0.6588878822204619,0.23852261062795121,0.12413719436830618,0.4063206024383201,0.012133808211409088,0.08997632202052092,0.9100236779794791,0.0,1228920.0,57055.57361065973,274876150.0,USD
2015-06,ok,19064,0.1535879143936215,0.6657526462229518,0.24709843669927542,0.12459822569099281,0.4072576941708176,0.01489068626737405,0.09174360050356693,0.9082563994964331,0.0,1027755.0,53910.77423415862,240693200.0,USD
2015-07,ok,30864,0.14618973561430793,0.6644069989304645,0.23853507290475162,0.11968634852726703,0.3949152637782261,0.009693935788245144,0.09609901503369622,0.9039009849663038,0.0,1954140.0,63314.54121306376,392235650.0,USD
2015-08,ok,23938,0.14245133260924053,0.6652951236905804,0.2364060334489892,0.1170701448786967,0.3881292444282362,0.007062408602359533,0.09720945776589524,0.9027905422341048,0.0,1360260.0,56824.29609825382,312710575.0,USD
2015-09,ok,18765,0.1493738342659206,0.6742472970164647,0.2533713859299063,0.12121086988558843,0.39739788181831937,0.014282284803271457,0.10562216893152145,0.8943778310684786,0.0,1036230.0,55221.422861710635,247434525.0,USD
2015-10,ok,33186,0.14144518772976555,0.6621835962176812,0.22975641703238248,0.11667663691811818,0.3871983175119886,0.007511796694062477,0.10010245284155969,0.8998975471584403,0.0,1974330.0,59492.858434279515,425191075.0,USD
2015-11,ok,25242,0.14776959036526424,0.666886042530536,0.24623017539785097,0.12054217832804986,0.39711661008616633,0.012321138554034335,0.10383487837730766,0.8961651216226924,0.0,1534755.0,60801.640123603516,320941600.0,USD
2015-12,ok,30241,0.15588108858834032,0.6646109348825777,0.25710701973594546,0.12607386237784027,0.41112509271980796,0.019465601321454924,0.09973215171455971,0.9002678482854403,0.0,1845390.0,61022.783638107205,381319500.0,USD
