group,count,bad_rate,selection_rate,true_positive_rate,false_positive_rate,roc_auc,brier_score,suppressed
ANY,1,,,,,,,True
MORTGAGE,129762,0.12062853531850619,0.14155145574205083,0.1555968416163493,0.039161822014949214,0.6678609179018858,0.10207275354905014,False
OWN,31800,0.15833333333333333,0.08411949685534591,0.0949374182701289,0.026613704071499503,0.6434591188784802,0.12898565848974045,False
RENT,121463,0.17654759062430533,0.04474613668359912,0.05206010857936992,0.010632344711807499,0.6422928165379598,0.1403873386087064,False
